gene_symbol,ensg_id,gene_type,gene_length,ensp_id,protein_length
TIA1,ENSG00000116001,protein_coding,6607,ENSP00000401371,386
PCYOX1,ENSG00000116005,protein_coding,5864,ENSP00000387654,505
KISS1R,ENSG00000116014,protein_coding,1670,ENSP00000234371,398
EPAS1,ENSG00000116016,protein_coding,7291,ENSP00000263734,870
ARID3A,ENSG00000116017,protein_coding,7217,ENSP00000263620,593
SUMO1,ENSG00000116030,protein_coding,2153,ENSP00000387204,146
CD207,ENSG00000116031,protein_coding,1866,ENSP00000386378,328
GRIN3B,ENSG00000116032,protein_coding,3281,ENSP00000234389,1043
VAX2,ENSG00000116035,protein_coding,2975,ENSP00000234392,290
ATP6V1B1,ENSG00000116039,protein_coding,2656,ENSP00000234396,513
NFE2L2,ENSG00000116044,protein_coding,14975,ENSP00000514321,651
MSH6,ENSG00000116062,protein_coding,17722,ENSP00000514750,1362
PLEKHA3,ENSG00000116095,protein_coding,14205,ENSP00000234453,300
SPR,ENSG00000116096,protein_coding,1458,ENSP00000234454,261
EPHA4,ENSG00000116106,protein_coding,7554,ENSP00000281821,986
PARD3B,ENSG00000116117,protein_coding,10522,ENSP00000385848,1205
FARSB,ENSG00000116120,protein_coding,6761,ENSP00000281828,589
ALMS1,ENSG00000116127,protein_coding,22670,ENSP00000482968,4168
BCL9,ENSG00000116128,protein_coding,6331,ENSP00000234739,1426
PRRX1,ENSG00000116132,protein_coding,8248,ENSP00000239461,245
DHCR24,ENSG00000116133,protein_coding,6214,ENSP00000440191,528
DNAJC16,ENSG00000116138,protein_coding,8563,ENSP00000365007,782
MARK1,ENSG00000116141,protein_coding,15255,ENSP00000483424,796
TNR,ENSG00000116147,protein_coding,13470,ENSP00000356646,1358
MORN1,ENSG00000116151,protein_coding,11337,ENSP00000367792,497
GPX7,ENSG00000116157,protein_coding,1692,ENSP00000354677,187
CACYBP,ENSG00000116161,protein_coding,4611,ENSP00000356652,228
SCP2,ENSG00000116171,protein_coding,8253,ENSP00000360569,547
TPSG1,ENSG00000116176,protein_coding,1554,ENSP00000234798,321
PAPPA2,ENSG00000116183,protein_coding,10926,ENSP00000356634,1791
RALGPS2,ENSG00000116191,protein_coding,9161,ENSP00000356607,583
ANGPTL1,ENSG00000116194,protein_coding,3598,ENSP00000234816,491
CEP104,ENSG00000116198,protein_coding,11885,ENSP00000502548,964
FAM20B,ENSG00000116199,protein_coding,6046,ENSP00000263733,409
TCEANC2,ENSG00000116205,protein_coding,12168,ENSP00000360382,238
TMEM59,ENSG00000116209,protein_coding,9149,ENSP00000234831,323
LRRC42,ENSG00000116212,protein_coding,2411,ENSP00000318185,428
WRAP73,ENSG00000116213,protein_coding,7634,ENSP00000270708,460
NPHS2,ENSG00000116218,protein_coding,1874,ENSP00000356587,383
MRPL37,ENSG00000116221,protein_coding,2549,ENSP00000473980,483
ICMT,ENSG00000116237,protein_coding,4910,ENSP00000343552,284
RPL22,ENSG00000116251,protein_coding,4665,ENSP00000346088,128
CHD5,ENSG00000116254,protein_coding,10094,ENSP00000262450,1954
QSOX1,ENSG00000116260,protein_coding,9276,ENSP00000356574,747
STXBP3,ENSG00000116266,protein_coding,5892,ENSP00000359025,592
PHF13,ENSG00000116273,protein_coding,3632,ENSP00000366876,300
ERRFI1,ENSG00000116285,protein_coding,4179,ENSP00000366702,462
PARK7,ENSG00000116288,protein_coding,2397,ENSP00000340278,189
ELAPOR1,ENSG00000116299,protein_coding,9194,ENSP00000358955,1013
OPRD1,ENSG00000116329,protein_coding,9317,ENSP00000234961,372
AMPD2,ENSG00000116337,protein_coding,9301,ENSP00000358855,836
SRSF4,ENSG00000116350,protein_coding,8806,ENSP00000362900,494
MECR,ENSG00000116353,protein_coding,4138,ENSP00000263702,373
KCNC4,ENSG00000116396,protein_coding,26071,ENSP00000358802,635
EDEM3,ENSG00000116406,protein_coding,18576,ENSP00000509786,957
WDR77,ENSG00000116455,protein_coding,2685,ENSP00000235090,342
ATP5PB,ENSG00000116459,protein_coding,3138,ENSP00000358737,256
RAP1A,ENSG00000116473,protein_coding,5532,ENSP00000348786,184
HDAC1,ENSG00000116478,protein_coding,3987,ENSP00000362649,482
CAPZA1,ENSG00000116489,protein_coding,3495,ENSP00000263168,286
S100PBP,ENSG00000116497,protein_coding,9190,ENSP00000362574,408
RNF19B,ENSG00000116514,protein_coding,2734,ENSP00000362555,732
SCAMP3,ENSG00000116521,protein_coding,3862,ENSP00000307275,347
TRIM62,ENSG00000116525,protein_coding,3976,ENSP00000291416,475
ASH1L,ENSG00000116539,protein_coding,13783,ENSP00000357330,2969
DLGAP3,ENSG00000116544,protein_coding,4042,ENSP00000235180,979
SFPQ,ENSG00000116560,protein_coding,7720,ENSP00000512713,728
RHOU,ENSG00000116574,protein_coding,3965,ENSP00000355652,258
GON4L,ENSG00000116580,protein_coding,11970,ENSP00000357315,2241
ARHGEF2,ENSG00000116584,protein_coding,9250,ENSP00000500802,1129
LAMTOR2,ENSG00000116586,protein_coding,1404,ENSP00000357285,150
MEF2D,ENSG00000116604,protein_coding,6351,ENSP00000271555,521
DOCK7,ENSG00000116641,protein_coding,24890,ENSP00000489124,2140
SRM,ENSG00000116649,protein_coding,1894,ENSP00000366156,302
FBXO2,ENSG00000116661,protein_coding,3163,ENSP00000346240,296
FBXO6,ENSG00000116663,protein_coding,1735,ENSP00000365944,293
C1orf21,ENSG00000116667,protein_coding,11594,ENSP00000235307,121
SWT1,ENSG00000116668,protein_coding,4068,ENSP00000356471,900
MAD2L2,ENSG00000116670,protein_coding,7192,ENSP00000365857,224
DNAJC6,ENSG00000116675,protein_coding,6958,ENSP00000360108,970
LEPR,ENSG00000116678,protein_coding,11370,ENSP00000330393,1165
IVNS1ABP,ENSG00000116679,protein_coding,11330,ENSP00000356468,642
KIAA2013,ENSG00000116685,protein_coding,3281,ENSP00000365760,667
MFN2,ENSG00000116688,protein_coding,10234,ENSP00000501839,808
PRG4,ENSG00000116690,protein_coding,5049,ENSP00000399679,1404
MIIP,ENSG00000116691,protein_coding,2821,ENSP00000235332,388
SMG7,ENSG00000116698,protein_coding,8317,ENSP00000508915,1216
NCF2,ENSG00000116701,protein_coding,4319,ENSP00000356506,526
PDC,ENSG00000116703,protein_coding,1331,ENSP00000375855,246
SLC35D1,ENSG00000116704,protein_coding,6193,ENSP00000235345,355
PLA2G4A,ENSG00000116711,protein_coding,2879,ENSP00000356436,749
GADD45A,ENSG00000116717,protein_coding,1925,ENSP00000360025,165
PRAMEF1,ENSG00000116721,protein_coding,2439,ENSP00000332134,474
PRAMEF12,ENSG00000116726,protein_coding,2889,ENSP00000350358,483
WLS,ENSG00000116729,protein_coding,4459,ENSP00000346829,543
PRDM2,ENSG00000116731,protein_coding,10933,ENSP00000235372,1718
RGS2,ENSG00000116741,protein_coding,2088,ENSP00000235382,211
RPE65,ENSG00000116745,protein_coding,4307,ENSP00000262340,533
RO60,ENSG00000116747,protein_coding,9070,ENSP00000356416,538
AMPD1,ENSG00000116748,protein_coding,3082,ENSP00000430075,747
UCHL5,ENSG00000116750,protein_coding,6661,ENSP00000356420,368
BCAS2,ENSG00000116752,protein_coding,1289,ENSP00000358554,225
SRSF11,ENSG00000116754,protein_coding,8473,ENSP00000378568,491
CTH,ENSG00000116761,protein_coding,2414,ENSP00000359976,405
AGMAT,ENSG00000116771,protein_coding,3095,ENSP00000364986,352
OLFML3,ENSG00000116774,protein_coding,2821,ENSP00000322273,406
TNNI3K,ENSG00000116783,protein_coding,4733,ENSP00000322251,835
CFHR3,ENSG00000116785,protein_coding,4261,ENSP00000356395,330
PLEKHM2,ENSG00000116786,protein_coding,4275,ENSP00000364956,1019
CRYZ,ENSG00000116791,protein_coding,4085,ENSP00000339399,329
PHTF1,ENSG00000116793,protein_coding,7170,ENSP00000358617,762
ZBTB17,ENSG00000116809,protein_coding,4240,ENSP00000364885,810
CD58,ENSG00000116815,protein_coding,1784,ENSP00000358501,250
TFAP2E,ENSG00000116819,protein_coding,4308,ENSP00000362332,442
CD2,ENSG00000116824,protein_coding,1635,ENSP00000358490,351
TTF2,ENSG00000116830,protein_coding,10158,ENSP00000358478,1162
NR5A2,ENSG00000116833,protein_coding,7543,ENSP00000356331,541
KIF21B,ENSG00000116852,protein_coding,12164,ENSP00000411831,1637
TMEM9,ENSG00000116857,protein_coding,3919,ENSP00000356301,186
ADPRS,ENSG00000116863,protein_coding,1651,ENSP00000362273,363
MAP7D1,ENSG00000116871,protein_coding,5271,ENSP00000362244,841
WARS2,ENSG00000116874,protein_coding,3830,ENSP00000235521,360
HAO2,ENSG00000116882,protein_coding,1877,ENSP00000354314,364
OSCP1,ENSG00000116885,protein_coding,2788,ENSP00000349052,389
MRPS15,ENSG00000116898,protein_coding,2863,ENSP00000362208,257
EXOC8,ENSG00000116903,protein_coding,5100,ENSP00000355605,725
GNPAT,ENSG00000116906,protein_coding,3261,ENSP00000355607,680
TSNAX,ENSG00000116918,protein_coding,6353,ENSP00000355599,290
C1orf109,ENSG00000116922,protein_coding,4443,ENSP00000350704,203
RRAGC,ENSG00000116954,protein_coding,5116,ENSP00000362092,399
NID1,ENSG00000116962,protein_coding,5811,ENSP00000264187,1247
LGALS8,ENSG00000116977,protein_coding,9462,ENSP00000309576,359
NT5C1A,ENSG00000116981,protein_coding,9068,ENSP00000235628,368
HPCAL4,ENSG00000116983,protein_coding,4758,ENSP00000361935,191
MTR,ENSG00000116984,protein_coding,19254,ENSP00000355536,1265
BMP8B,ENSG00000116985,protein_coding,4826,ENSP00000361915,402
MYCL,ENSG00000116990,protein_coding,4967,ENSP00000380494,394
SIPA1L2,ENSG00000116991,protein_coding,8552,ENSP00000501897,1773
ZP4,ENSG00000116996,protein_coding,2474,ENSP00000355529,540
RLF,ENSG00000117000,protein_coding,6232,ENSP00000361857,1914
KMO,ENSG00000117009,protein_coding,5946,ENSP00000355517,486
ZNF684,ENSG00000117010,protein_coding,3101,ENSP00000361784,378
KCNQ4,ENSG00000117013,protein_coding,4408,ENSP00000262916,695
RIMS3,ENSG00000117016,protein_coding,7259,ENSP00000361768,308
AKT3,ENSG00000117020,protein_coding,16643,ENSP00000263826,479
ETV3,ENSG00000117036,protein_coding,6707,ENSP00000357175,512
ACADM,ENSG00000117054,protein_coding,13774,ENSP00000359871,454
ST6GALNAC5,ENSG00000117069,protein_coding,6059,ENSP00000417583,336
SLAMF1,ENSG00000117090,protein_coding,4012,ENSP00000438406,357
CD48,ENSG00000117091,protein_coding,3254,ENSP00000484431,252
ADGRL2,ENSG00000117114,protein_coding,24178,ENSP00000359760,1474
PADI2,ENSG00000117115,protein_coding,6000,ENSP00000364635,665
SDHB,ENSG00000117118,protein_coding,3071,ENSP00000364649,280
MFAP2,ENSG00000117122,protein_coding,2712,ENSP00000364685,183
RPF1,ENSG00000117133,protein_coding,2290,ENSP00000359688,349
KDM5B,ENSG00000117139,protein_coding,24899,ENSP00000356233,1580
UAP1,ENSG00000117143,protein_coding,4619,ENSP00000356902,522
ACTL8,ENSG00000117148,protein_coding,1844,ENSP00000364555,366
CTBS,ENSG00000117151,protein_coding,6934,ENSP00000359664,385
RGS4,ENSG00000117152,protein_coding,4729,ENSP00000397181,302
KLHL12,ENSG00000117153,protein_coding,3508,ENSP00000356230,568
IGSF21,ENSG00000117154,protein_coding,3033,ENSP00000251296,467
SSX2IP,ENSG00000117155,protein_coding,8563,ENSP00000340279,614
ZNHIT6,ENSG00000117174,protein_coding,6203,ENSP00000359606,470
PLA2G2D,ENSG00000117215,protein_coding,2681,ENSP00000364246,145
RBBP5,ENSG00000117222,protein_coding,4404,ENSP00000264515,538
GBP3,ENSG00000117226,protein_coding,4297,ENSP00000359512,595
GBP1,ENSG00000117228,protein_coding,6103,ENSP00000359504,592
KIF17,ENSG00000117245,protein_coding,4470,ENSP00000247986,1029
GPR89A,ENSG00000117262,protein_coding,5561,ENSP00000319673,455
CDK18,ENSG00000117266,protein_coding,6830,ENSP00000423665,504
RAB29,ENSG00000117280,protein_coding,3904,ENSP00000235932,203
CD160,ENSG00000117281,protein_coding,3971,ENSP00000385199,234
ECE1,ENSG00000117298,protein_coding,7308,ENSP00000497333,842
HMGCL,ENSG00000117305,protein_coding,5628,ENSP00000363614,325
GALE,ENSG00000117308,protein_coding,3955,ENSP00000363621,348
ID3,ENSG00000117318,protein_coding,1496,ENSP00000363689,119
CR2,ENSG00000117322,protein_coding,5030,ENSP00000356024,1092
CD46,ENSG00000117335,protein_coding,15505,ENSP00000313875,399
PRPF3,ENSG00000117360,protein_coding,5408,ENSP00000315379,683
APH1A,ENSG00000117362,protein_coding,3473,ENSP00000358105,265
P3H1,ENSG00000117385,protein_coding,6766,ENSP00000236040,804
SLC2A1,ENSG00000117394,protein_coding,6614,ENSP00000416293,492
EBNA1BP2,ENSG00000117395,protein_coding,3561,ENSP00000407323,361
CDC20,ENSG00000117399,protein_coding,2012,ENSP00000308450,499
MPL,ENSG00000117400,protein_coding,3937,ENSP00000361548,635
ARTN,ENSG00000117407,protein_coding,2657,ENSP00000391998,237
IPO13,ENSG00000117408,protein_coding,5072,ENSP00000361418,963
ATP6V0B,ENSG00000117410,protein_coding,3239,ENSP00000434729,261
B4GALT2,ENSG00000117411,protein_coding,5472,ENSP00000310696,401
ERI3,ENSG00000117419,protein_coding,2785,ENSP00000361331,337
PTCH2,ENSG00000117425,protein_coding,6024,ENSP00000361266,1203
AKR1A1,ENSG00000117448,protein_coding,3121,ENSP00000312606,325
PRDX1,ENSG00000117450,protein_coding,1682,ENSP00000262746,199
PIK3R3,ENSG00000117461,protein_coding,7397,ENSP00000262741,461
TSPAN1,ENSG00000117472,protein_coding,2370,ENSP00000361072,241
BLZF1,ENSG00000117475,protein_coding,3820,ENSP00000327541,400
CCDC181,ENSG00000117477,protein_coding,3961,ENSP00000356780,509
SLC19A2,ENSG00000117479,protein_coding,4364,ENSP00000236137,497
FAAH,ENSG00000117480,protein_coding,2724,ENSP00000243167,579
NSUN4,ENSG00000117481,protein_coding,8303,ENSP00000478740,652
TMED5,ENSG00000117500,protein_coding,9211,ENSP00000359305,229
MROH9,ENSG00000117501,protein_coding,3776,ENSP00000356733,861
DR1,ENSG00000117505,protein_coding,10925,ENSP00000359290,176
CNN3,ENSG00000117519,protein_coding,2783,ENSP00000359225,329
PRRC2C,ENSG00000117523,protein_coding,14189,ENSP00000495867,2898
F3,ENSG00000117525,protein_coding,2886,ENSP00000334145,295
ABCD3,ENSG00000117528,protein_coding,7655,ENSP00000359233,659
VAMP4,ENSG00000117533,protein_coding,4986,ENSP00000236192,141
DPH5,ENSG00000117543,protein_coding,5951,ENSP00000359127,285
FASLG,ENSG00000117560,protein_coding,1805,ENSP00000356694,281
PTBP2,ENSG00000117569,protein_coding,20122,ENSP00000412788,540
TNFSF4,ENSG00000117586,protein_coding,11714,ENSP00000281834,183
PRDX6,ENSG00000117592,protein_coding,2311,ENSP00000342026,224
DARS2,ENSG00000117593,protein_coding,7353,ENSP00000497569,645
HSD11B1,ENSG00000117594,protein_coding,1512,ENSP00000355995,292
IRF6,ENSG00000117595,protein_coding,5106,ENSP00000355988,467
UTP25,ENSG00000117597,protein_coding,10411,ENSP00000419005,756
PLPPR5,ENSG00000117598,protein_coding,4859,ENSP00000500930,379
PLPPR4,ENSG00000117600,protein_coding,5201,ENSP00000359204,715
SERPINC1,ENSG00000117601,protein_coding,1721,ENSP00000356671,464
RCAN3,ENSG00000117602,protein_coding,7138,ENSP00000363516,241
SYF2,ENSG00000117614,protein_coding,3773,ENSP00000236273,243
RSRP1,ENSG00000117616,protein_coding,6730,ENSP00000243189,290
SLC35A3,ENSG00000117620,protein_coding,18235,ENSP00000359172,367
RCOR3,ENSG00000117625,protein_coding,9092,ENSP00000413929,553
STMN1,ENSG00000117632,protein_coding,6247,ENSP00000410452,174
MTFR1L,ENSG00000117640,protein_coding,5797,ENSP00000363419,292
MAN1C1,ENSG00000117643,protein_coding,7934,ENSP00000363452,630
NEK2,ENSG00000117650,protein_coding,3095,ENSP00000355966,445
RPS6KA1,ENSG00000117676,protein_coding,5884,ENSP00000435412,744
DHDDS,ENSG00000117682,protein_coding,7156,ENSP00000515247,354
NENF,ENSG00000117691,protein_coding,1264,ENSP00000355955,172
NSL1,ENSG00000117697,protein_coding,13867,ENSP00000355944,281
PROX1,ENSG00000117707,protein_coding,8899,ENSP00000355925,737
ARID1A,ENSG00000117713,protein_coding,16790,ENSP00000320485,2285
CENPF,ENSG00000117724,protein_coding,12471,ENSP00000355922,3114
RPA2,ENSG00000117748,protein_coding,1981,ENSP00000363015,358
PPP1R8,ENSG00000117751,protein_coding,2815,ENSP00000311677,351
STX12,ENSG00000117758,protein_coding,3801,ENSP00000363054,276
MTARC2,ENSG00000117791,protein_coding,2597,ENSP00000355880,335
SLC5A9,ENSG00000117834,protein_coding,4535,ENSP00000236495,706
OSBPL9,ENSG00000117859,protein_coding,10273,ENSP00000412733,746
TXNDC12,ENSG00000117862,protein_coding,3445,ENSP00000360688,172
ESYT2,ENSG00000117868,protein_coding,7094,ENSP00000499020,893
POLR1G,ENSG00000117877,protein_coding,3197,ENSP00000465099,512
MESD,ENSG00000117899,protein_coding,7455,ENSP00000261758,234
RCN2,ENSG00000117906,protein_coding,9901,ENSP00000319739,335
CHRNB4,ENSG00000117971,protein_coding,4984,ENSP00000261751,498
MUC5B,ENSG00000117983,protein_coding,18598,ENSP00000436812,5762
CTSD,ENSG00000117984,protein_coding,5697,ENSP00000415036,451
COLEC11,ENSG00000118004,protein_coding,2778,ENSP00000411770,285
STAG1,ENSG00000118007,protein_coding,7843,ENSP00000372689,1258
A4GNT,ENSG00000118017,protein_coding,1779,ENSP00000236709,340
STK11,ENSG00000118046,protein_coding,8832,ENSP00000324856,433
KMT2A,ENSG00000118058,protein_coding,31469,ENSP00000432391,4005
TREH,ENSG00000118094,protein_coding,3182,ENSP00000264029,583
IFT46,ENSG00000118096,protein_coding,3773,ENSP00000264020,355
MMP8,ENSG00000118113,protein_coding,3437,ENSP00000236826,467
APOA1,ENSG00000118137,protein_coding,1096,ENSP00000236850,267
ZNF541,ENSG00000118156,protein_coding,4904,ENSP00000375770,1346
SLC8A2,ENSG00000118160,protein_coding,5271,ENSP00000236877,921
KPTN,ENSG00000118162,protein_coding,2115,ENSP00000337850,436
RPS25,ENSG00000118181,protein_coding,1477,ENSP00000435096,125
KIF14,ENSG00000118193,protein_coding,7294,ENSP00000356319,1648
TNNT2,ENSG00000118194,protein_coding,7330,ENSP00000499741,368
DDX59,ENSG00000118197,protein_coding,4410,ENSP00000330460,619
CAMSAP2,ENSG00000118200,protein_coding,8445,ENSP00000236925,1489
ATF6,ENSG00000118217,protein_coding,14263,ENSP00000506139,700
CRYGD,ENSG00000118231,protein_coding,642,ENSP00000264376,174
MREG,ENSG00000118242,protein_coding,3576,ENSP00000263268,214
TNP1,ENSG00000118245,protein_coding,407,ENSP00000236979,55
FASTKD2,ENSG00000118246,protein_coding,9759,ENSP00000236980,710
NRP2,ENSG00000118257,protein_coding,13896,ENSP00000353582,931
CREB1,ENSG00000118260,protein_coding,12132,ENSP00000387699,341
KLF7,ENSG00000118263,protein_coding,9616,ENSP00000309570,302
TTR,ENSG00000118271,protein_coding,2176,ENSP00000237014,147
B4GALT6,ENSG00000118276,protein_coding,5165,ENSP00000306459,382
C1orf54,ENSG00000118292,protein_coding,1270,ENSP00000358095,131
CA14,ENSG00000118298,protein_coding,3296,ENSP00000358107,337
DNAI7,ENSG00000118307,protein_coding,3126,ENSP00000379310,722
IRAG2,ENSG00000118308,protein_coding,6611,ENSP00000489956,1454
ATP10B,ENSG00000118322,protein_coding,11310,ENSP00000313600,1461
SPCS2,ENSG00000118363,protein_coding,2967,ENSP00000436759,257
USP35,ENSG00000118369,protein_coding,5754,ENSP00000431876,1018
ELOVL4,ENSG00000118402,protein_coding,3013,ENSP00000358831,314
FILIP1,ENSG00000118407,protein_coding,8964,ENSP00000237172,1213
CASP8AP2,ENSG00000118412,protein_coding,8147,ENSP00000478179,1964
HMGN3,ENSG00000118418,protein_coding,1345,ENSP00000482613,130
UBE3D,ENSG00000118420,protein_coding,6402,ENSP00000358762,389
CNR1,ENSG00000118432,protein_coding,6345,ENSP00000358513,472
SPACA1,ENSG00000118434,protein_coding,1664,ENSP00000237201,294
ANKRD13C,ENSG00000118454,protein_coding,6184,ENSP00000359982,541
SGIP1,ENSG00000118473,protein_coding,25445,ENSP00000237247,859
PHF3,ENSG00000118482,protein_coding,20926,ENSP00000262043,2039
ZC2HC1B,ENSG00000118491,protein_coding,1072,ENSP00000237275,222
ADGB,ENSG00000118492,protein_coding,8661,ENSP00000381036,1667
PLAGL1,ENSG00000118495,protein_coding,6410,ENSP00000353734,463
FBXO30,ENSG00000118496,protein_coding,9051,ENSP00000237281,745
TNFAIP3,ENSG00000118503,protein_coding,6443,ENSP00000237289,790
AKAP7,ENSG00000118507,protein_coding,4593,ENSP00000506952,351
RAB32,ENSG00000118508,protein_coding,1065,ENSP00000356465,225
MYB,ENSG00000118513,protein_coding,5495,ENSP00000339992,761
ALDH8A1,ENSG00000118514,protein_coding,2858,ENSP00000265605,487
SGK1,ENSG00000118515,protein_coding,9962,ENSP00000356832,526
RNF146,ENSG00000118518,protein_coding,3392,ENSP00000357297,359
ARG1,ENSG00000118520,protein_coding,2219,ENSP00000349446,330
CCN2,ENSG00000118523,protein_coding,2338,ENSP00000356954,349
TCF21,ENSG00000118526,protein_coding,3679,ENSP00000237316,179
PMFBP1,ENSG00000118557,protein_coding,5591,ENSP00000443817,1022
FBXL5,ENSG00000118564,protein_coding,4701,ENSP00000344866,691
MED28,ENSG00000118579,protein_coding,10972,ENSP00000426529,179
SLC16A7,ENSG00000118596,protein_coding,13703,ENSP00000261187,478
RXYLT1,ENSG00000118600,protein_coding,10352,ENSP00000261234,443
ZNF430,ENSG00000118620,protein_coding,6831,ENSP00000261560,570
VAMP8,ENSG00000118640,protein_coding,895,ENSP00000263864,100
DCLRE1B,ENSG00000118655,protein_coding,4721,ENSP00000498042,532
MYL12B,ENSG00000118680,protein_coding,1738,ENSP00000237500,172
FOXO3,ENSG00000118689,protein_coding,7670,ENSP00000339527,673
ARMC2,ENSG00000118690,protein_coding,4254,ENSP00000376417,867
GHRH,ENSG00000118702,protein_coding,550,ENSP00000362716,108
RPN2,ENSG00000118705,protein_coding,3346,ENSP00000516126,654
TGIF2,ENSG00000118707,protein_coding,3973,ENSP00000362981,237
CASQ2,ENSG00000118729,protein_coding,13272,ENSP00000261448,399
OLFM3,ENSG00000118733,protein_coding,4393,ENSP00000345192,478
PKD2,ENSG00000118762,protein_coding,5531,ENSP00000237596,968
ABCG2,ENSG00000118777,protein_coding,5602,ENSP00000237612,655
SPP1,ENSG00000118785,protein_coding,7250,ENSP00000378517,314
STBD1,ENSG00000118804,protein_coding,2244,ENSP00000237642,358
CCNI,ENSG00000118816,protein_coding,4048,ENSP00000237654,377
RARRES1,ENSG00000118849,protein_coding,2029,ENSP00000237696,294
MFSD1,ENSG00000118855,protein_coding,5227,ENSP00000484175,514
RAB3GAP2,ENSG00000118873,protein_coding,21916,ENSP00000510753,1418
EEF2KMT,ENSG00000118894,protein_coding,3135,ENSP00000398502,330
PPL,ENSG00000118898,protein_coding,7699,ENSP00000340510,1756
UBN1,ENSG00000118900,protein_coding,8592,ENSP00000262376,1134
KLF12,ENSG00000118922,protein_coding,11547,ENSP00000366897,402
UCHL3,ENSG00000118939,protein_coding,1890,ENSP00000366819,230
PCDH17,ENSG00000118946,protein_coding,8392,ENSP00000367151,1159
HS1BP3,ENSG00000118960,protein_coding,14625,ENSP00000305193,392
LDAH,ENSG00000118961,protein_coding,4433,ENSP00000370480,370
WDR35,ENSG00000118965,protein_coding,7807,ENSP00000314444,1181
CCND2,ENSG00000118971,protein_coding,7988,ENSP00000502508,303
FGF23,ENSG00000118972,protein_coding,4713,ENSP00000237837,251
ELL2,ENSG00000118985,protein_coding,7108,ENSP00000237853,640
DNAH7,ENSG00000118997,protein_coding,21349,ENSP00000311273,4024
CYP20A1,ENSG00000119004,protein_coding,10619,ENSP00000407860,470
NDUFB3,ENSG00000119013,protein_coding,1852,ENSP00000237889,98
GTF3C3,ENSG00000119041,protein_coding,7330,ENSP00000263956,886
SATB2,ENSG00000119042,protein_coding,14762,ENSP00000260926,733
UBE2B,ENSG00000119048,protein_coding,3402,ENSP00000265339,152
TRPM6,ENSG00000119121,protein_coding,9289,ENSP00000354006,2022
GDA,ENSG00000119125,protein_coding,7904,ENSP00000238018,471
KLF9,ENSG00000119138,protein_coding,5201,ENSP00000366330,244
TJP2,ENSG00000119139,protein_coding,15243,ENSP00000489860,1249
ECRG4,ENSG00000119147,protein_coding,1705,ENSP00000238044,148
ITGB1BP1,ENSG00000119185,protein_coding,6659,ENSP00000347504,200
CPSF3,ENSG00000119203,protein_coding,3686,ENSP00000238112,684
PIGZ,ENSG00000119227,protein_coding,3198,ENSP00000413405,579
SENP5,ENSG00000119231,protein_coding,7035,ENSP00000327197,755
CCDC92,ENSG00000119242,protein_coding,8219,ENSP00000238156,331
C1orf198,ENSG00000119280,protein_coding,5161,ENSP00000355623,327
TRIM67,ENSG00000119283,protein_coding,9389,ENSP00000355613,783
HEATR1,ENSG00000119285,protein_coding,9061,ENSP00000355541,2144
PTBP3,ENSG00000119314,protein_coding,8236,ENSP00000414921,558
RAD23B,ENSG00000119318,protein_coding,4613,ENSP00000350708,409
FKBP15,ENSG00000119321,protein_coding,18557,ENSP00000508580,1256
CTNNAL1,ENSG00000119326,protein_coding,3124,ENSP00000320434,734
ABITRAM,ENSG00000119328,protein_coding,2525,ENSP00000363753,181
DYNC2I2,ENSG00000119333,protein_coding,2672,ENSP00000361800,536
SET,ENSG00000119335,protein_coding,5940,ENSP00000361773,296
PTPA,ENSG00000119383,protein_coding,5624,ENSP00000351885,373
GLE1,ENSG00000119392,protein_coding,10755,ENSP00000507377,707
RAB14,ENSG00000119396,protein_coding,4695,ENSP00000362946,215
CNTRL,ENSG00000119397,protein_coding,22349,ENSP00000362962,2325
TRIM32,ENSG00000119401,protein_coding,3777,ENSP00000363095,653
FBXW2,ENSG00000119402,protein_coding,11354,ENSP00000476369,454
PHF19,ENSG00000119403,protein_coding,6594,ENSP00000483946,599
NEK6,ENSG00000119408,protein_coding,4433,ENSP00000362702,347
BSPRY,ENSG00000119411,protein_coding,2339,ENSP00000363298,402
PPP6C,ENSG00000119414,protein_coding,4443,ENSP00000392147,342
NDUFA8,ENSG00000119421,protein_coding,804,ENSP00000362873,172
HDHD3,ENSG00000119431,protein_coding,2092,ENSP00000238379,251
RBM18,ENSG00000119446,protein_coding,5196,ENSP00000409315,190
SLC46A2,ENSG00000119457,protein_coding,2465,ENSP00000363345,475
HSDL2,ENSG00000119471,protein_coding,3307,ENSP00000381785,418
MAPKAP1,ENSG00000119487,protein_coding,6741,ENSP00000265960,522
NR4A3,ENSG00000119508,protein_coding,6314,ENSP00000333122,637
INVS,ENSG00000119509,protein_coding,7131,ENSP00000262457,1065
GALNT12,ENSG00000119514,protein_coding,3166,ENSP00000364150,581
DENND1A,ENSG00000119522,protein_coding,10337,ENSP00000377763,1070
ALG2,ENSG00000119523,protein_coding,2970,ENSP00000417764,416
CSF3R,ENSG00000119535,protein_coding,10594,ENSP00000362195,863
KDSR,ENSG00000119537,protein_coding,9031,ENSP00000494352,332
VPS4B,ENSG00000119541,protein_coding,4315,ENSP00000238497,444
ONECUT2,ENSG00000119547,protein_coding,16546,ENSP00000419185,504
C19orf25,ENSG00000119559,protein_coding,4774,ENSP00000465469,160
ZBTB45,ENSG00000119574,protein_coding,3006,ENSP00000346603,511
YLPM1,ENSG00000119596,protein_coding,14935,ENSP00000324463,2146
